odid,display_name,similarity score,release_date,MONTH,release_pattern,distributor,movie_url,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,domestic_dvd_units,domestic_dvd_spending,domestic_bluray_units,domestic_bluray_spending,creative_type,source,production_method,genre,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_,franchise,video_rental_spending,rating,reason,production_company1,production_company2,production_company3,imdbid,movieId,imdb_moviemeter,imdb_rating,imdb_votes
185680100,About Last Night,0.484930704,2/14/14,2,Wide,Sony Pictures,About-Last-Night-(2014),2014,100,0,25649011,2253,2253,8450,289892,4837170,65139,1429945,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy,13000000,48637684,1808176,50185510,,12685772,R,"for sexual content, language and brief drug use.",Rainforest Films,Olive Bridge Entertainment,,1826590,109372,,,
190170100,Think Like a Man Too,0.484930704,6/20/14,6,Wide,Sony Pictures,Think-Like-a-Man-2,2014,105,1,29241911,2225,3049,8594,226738,3191793,66383,1528562,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,24000000,65028687,4999246,67098138,Think Like a Man,,PG-13,"for crude sexual content including references, partial nudity, language and drug material.",Screen Gems,LStar Capital,Will Packer Productions,2239832,112303,,,
198200100,Into the Storm,0.484930704,8/8/14,8,Wide,Warner Bros.,Into-the-Storm,2014,89,0,17346427,3434,3434,15085,388191,6484090,136275,2785378,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,50000000,47602194,109000000,49117066,,,PG-13,"for sequences of intense destruction and peril, and language including some sexual references.",Broken Road,,,2106361,114033,,,
208800100,The Pyramid,0.484930704,12/5/14,12,Wide,20th Century Fox,Pyramid-The,2014,89,0,1369935,589,685,1512,,,,,Fantasy,Original Screenplay,Live Action,Horror,0,2756333,8900000,2842453,,,R,for some horror violence and bloody images.,Fox International Productions,Silvatar Media,,2799166,113769,,,
200400100,The Purge: Anarchy,0.485213422,7/18/14,7,Wide,Universal,Purge-Anarchy-The,2014,103,1,29816675,2806,2856,11344,447805,7007087,188045,4316978,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,9000000,71562550,39971086,73839938,The Purge,,R,"for strong disturbing violence, and for language.",Platinum Dunes,Blumhouse,Why Not Productions,2975578,112818,,,
191180100,Heaven is for Real,0.486405764,4/16/14,4,Wide,Sony Pictures,Heaven-is-for-Real,2013,100,0,22522221,2417,3048,18618,1847685,28629534,483694,11120025,Dramatization,Based on Factual Book/Article,Live Action,Drama,12000000,91386097,9533014,94294338,,,PG,for thematic material including some medical situations.,Roth Films,T.D. Jakes,,1929263,110750,,,
200420100,Dumb and Dumber To,0.487977125,11/14/14,11,Wide,Universal,Dumb-and-Dumber-To,2014,110,1,36111775,3154,3188,17923,456339,7627913,249195,5343591,Contemporary Fiction,Original Screenplay,Live Action,Comedy,40000000,86208010,55000000,88925516,Dumb and Dumber,,PG-13,"for crude and sexual humor, partial nudity, language and some drug references.",Conundrum Entertainment,Charles B. Wessler Entertainment,,2096672,116977,,,
186230100,Muppets Most Wanted,0.488708035,3/21/14,3,Wide,Walt Disney,Muppets-Most-Wanted,2013,106,1,17005126,3194,3194,14622,427421,6351557,209908,4819372,Kids Fiction,Based on TV,Live Action,Comedy,55000000,51178893,28133408,52807594,Muppets,,PG,for some mild action.,Mandeville Films,,,2281587,110297,,,
191960100,A Million Ways to Die in The West,0.48922808,5/30/14,5,Wide,Universal,Million-Ways-to-Die-in-the-West-A,2014,115,0,16797385,3158,3160,11046,551009,7963542,281193,6400262,Historical Fiction,Original Screenplay,Live Action,Comedy,40000000,42720965,44040030,44080504,,,R,"for strong crude and sexual content, language throughout, some violence and drug material.",Bluegrass Films,,,2557490,111743,,,
193800100,That Awkward Moment,0.489845093,1/31/14,1,Wide,FilmDistrict,That-Awkward-Moment,2013,94,0,8742109,2809,2809,9893,219368,3025665,63956,1154788,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,8000000,26068955,27000000,26898562,,18438695,R,for sexual content and language throughout.,TreeHouse Pictures,Aversano Films,What If It Barks Films,1800246,109483,,,
