,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
999,12.7,1.2,26953,10.6,19.9,19.2,12.0,6.7,10.8,1.1,6.7,7.1,1.9,4.0,15.2
1000,9.7,4.0,28070,5.3,13.8,29.1,10.1,7.7,10.1,0.7,2.2,9.8,2.4,2.8,1.5
1001,9.2,1.5,27840,5.2,26.4,20.4,19.1,3.2,9.4,2.1,1.2,4.1,0.7,5.7,1.5
1002,2.3,3.8,31132,15.8,16.3,26.8,8.5,4.5,20.5,3.7,4.3,13.5,3.0,0.9,1.7
1003,14.7,1.5,23542,18.2,17.7,27.2,18.2,5.0,39.3,2.4,1.1,23.5,1.0,3.1,1.4
1004,4.4,2.4,29762,14.0,21.3,25.5,21.2,4.9,32.3,4.9,0.4,14.5,2.7,5.0,1.4
1005,14.4,5.1,26523,12.7,20.6,24.0,22.4,9.7,7.8,0.2,2.6,14.0,2.7,6.5,1.6
1006,22.0,8.6,21123,11.8,23.3,21.2,22.6,5.1,7.1,0.5,0.8,8.6,1.2,5.4,0.3
1007,21.6,6.2,20166,21.5,17.6,20.0,18.8,5.8,6.6,0.2,2.1,21.5,3.1,6.3,6.9
1008,19.1,9.0,25467,11.5,18.5,21.3,22.4,9.8,6.8,0.1,6.6,11.3,0.8,8.8,4.1
1009,14.4,4.7,24933,12.8,18.2,20.2,16.7,7.9,14.4,0.7,1.7,6.5,1.0,6.7,9.9
1010,19.4,6.0,22597,21.9,17.7,22.3,21.9,8.8,5.1,1.8,1.5,25.6,2.3,6.5,1.7
1011,15.9,5.0,28500,12.1,20.4,22.4,22.2,7.9,9.1,0.2,3.0,14.9,3.1,5.1,1.2
1012,22.8,5.0,22489,10.9,16.6,18.2,15.3,6.6,10.3,0.5,6.6,12.8,1.2,6.3,9.3
1013,13.8,4.5,32225,9.2,14.9,21.3,11.8,8.0,7.7,0.3,13.5,2.1,1.4,7.9,3.8
1014,21.5,5.6,17926,18.9,21.1,21.6,14.4,6.6,7.5,0.0,1.1,16.2,1.6,9.8,1.4
1015,18.8,8.7,21459,21.0,19.7,18.9,26.3,5.3,4.7,0.3,1.1,25.9,2.5,4.1,3.2
